DOMAINVALUE,STRATUM,ID,X1,X2,X3,X4,X5,X6,Y1,Y2,Y3,Y4,LABEL,STRATO,WEIGHTS
1,2*1*1*1*1*1,1483,2,1,1,1,1,1,65,76,72,42,1,1,98.75
1,5*1*1*1*1*1,722,5,1,1,1,1,1,332,310,319,89,1,1,98.75
1,1*1*1*1*1*1,1702,1,1,1,1,1,1,40,32,44,9,1,1,98.75
1,1*1*1*1*1*1,1730,1,1,1,1,1,1,32,30,32,16,1,1,98.75
1,10*2*2*1*2*2,199,10,2,2,1,2,2,1026,1066,1436,540,2,2,21
1,9*1*2*1*2*1,268,9,1,2,1,2,1,730,789,1184,381,2,2,21
1,11*2*2*2*2*1,139,11,2,2,2,2,1,1219,1519,1812,791,3,3,12
1,12*1*1*1*2*1,112,12,1,1,1,2,1,1698,1515,2206,925,3,3,12
1,15*1*2*1*2*3,17,15,1,2,1,2,3,4424,5800,7121,2203,4,4,10
1,15*1*1*1*2*1,25,15,1,1,1,2,1,3716,4854,5449,2400,4,4,10
1,16*1*3*1*2*3,12,16,1,3,1,2,3,6732,7998,8492,3949,5,5,3
1,16*1*2*1*2*3,14,16,1,2,1,2,3,5796,7279,7126,4175,5,5,3
1,18*1*1*1*3*2,1,18,1,1,1,3,2,32429,60074,57063,28398,6,6,1
1,18*2*2*1*3*2,4,18,2,2,1,3,2,24291,44202,35421,21000,6,6,1
1,8*1*1*1*2*1,320,8,1,1,1,2,1,753,677,956,262,7,7,50
1,7*1*2*1*1*1,482,7,1,2,1,1,1,432,462,598,204,7,7,50
2,2*1*1*1*1*1,1306,2,1,1,1,1,1,118,98,90,53,1,1,147.25
2,1*1*1*1*1*1,1719,1,1,1,1,1,1,38,29,36,13,1,1,147.25
2,2*1*1*1*1*1,1308,2,1,1,1,1,1,77,84,132,66,1,1,147.25
2,2*1*1*1*1*1,1346,2,1,1,1,1,1,106,84,114,35,1,1,147.25
2,10*1*1*1*1*2,179,10,1,1,1,1,2,1024,1293,1449,607,2,2,46.5
2,10*1*1*1*1*1,216,10,1,1,1,1,1,933,1067,1187,588,2,2,46.5
2,11*1*1*1*2*2,141,11,1,1,1,2,2,1174,1405,1779,980,3,3,24.5
2,11*1*1*1*1*1,145,11,1,1,1,1,1,1192,1752,1759,592,3,3,24.5
2,12*1*1*1*1*1,102,12,1,1,1,1,1,1217,1778,2307,1496,4,4,6
2,13*1*1*1*2*2,68,13,1,1,1,2,2,1975,2687,3104,1671,4,4,6
2,15*2*2*1*2*3,35,15,2,2,1,2,3,3119,4070,4707,2818,5,5,8.5
2,14*1*2*1*2*3,57,14,1,2,1,2,3,2536,3374,3439,1310,5,5,8.5
2,17*2*1*1*3*3,5,17,2,1,1,3,3,9127,14825,15140,9563,6,6,3
2,17*1*2*1*3*3,6,17,1,2,1,3,3,8128,11265,13301,7683,6,6,3
2,18*2*3*1*3*3,3,18,2,3,1,3,3,19399,44263,39397,25575,7,7,1
2,7*2*2*1*1*1,523,7,2,2,1,1,1,411,433,447,271,8,8,73
2,6*1*1*1*1*1,579,6,1,1,1,1,1,306,396,408,254,8,8,73
3,2*1*1*1*1*1,1402,2,1,1,1,1,1,77,75,102,53,1,1,68.5
3,1*1*1*1*1*1,1681,1,1,1,1,1,1,50,25,49,13,1,1,68.5
3,9*1*1*1*1*1,274,9,1,1,1,1,1,529,972,1068,450,2,2,18
3,10*1*1*1*2*2,225,10,1,1,1,2,2,996,1109,1120,422,2,2,18
3,12*1*1*1*2*2,117,12,1,1,1,2,2,1329,1928,1887,1031,3,3,13
3,12*1*1*1*2*2,113,12,1,1,1,2,2,1528,1912,1910,913,3,3,13
3,14*2*2*1*2*2,56,14,2,2,1,2,2,2378,3266,3504,1525,4,4,7.5
3,13*1*1*1*2*2,73,13,1,1,1,2,2,2064,2515,3016,1548,4,4,7.5
3,15*1*1*1*2*1,16,15,1,1,1,2,1,4039,4191,7097,5043,5,5,4.5
3,15*1*1*1*2*2,20,15,1,1,1,2,2,3284,4875,6506,3466,5,5,4.5
3,18*1*1*1*3*3,2,18,1,1,1,3,3,28161,50349,53734,34314,6,6,1
3,6*1*1*1*1*1,648,6,1,1,1,1,1,354,410,392,71,7,7,48.5
3,6*1*1*1*1*1,670,6,1,1,1,1,1,283,331,404,159,7,7,48.5
