DOMAINVALUE	STRATUM	ID	X1	X2	X3	X4	X5	X6	Y1	Y2	Y3	Y4	LABEL
1	1*1*1*1*1*1	1575	1	1	1	1	1	1	50	54	64	32	1
1	1*1*1*1*1*1	1588	1	1	1	1	1	1	27	53	78	37	1
1	1*1*1*1*1*1	1647	1	1	1	1	1	1	40	41	49	27	1
1	1*1*1*1*1*1	1593	1	1	1	1	1	1	43	67	61	22	1
1	1*1*1*1*1*1	1685	1	1	1	1	1	1	39	28	57	12	1
1	1*1*1*1*1*1	1566	1	1	1	1	1	1	30	45	74	58	1
1	1*1*1*1*1*1	1617	1	1	1	1	1	1	46	43	60	29	1
1	1*1*1*1*1*1	1564	1	1	1	1	1	1	55	31	73	49	1
1	1*1*1*1*1*1	1641	1	1	1	1	1	1	42	42	56	21	1
1	1*1*1*1*1*1	1624	1	1	1	1	1	1	52	41	59	21	1
1	1*1*1*1*1*1	1606	1	1	1	1	1	1	42	47	64	33	1
1	1*1*1*1*1*1	1817	1	1	1	1	1	1	11	5	11	7	1
1	1*1*1*1*1*1	1657	1	1	1	1	1	1	37	47	51	17	1
1	1*1*1*1*1*1	1560	1	1	1	1	1	1	60	46	73	32	1
1	1*1*1*1*1*1	1633	1	1	1	1	1	1	40	25	59	45	1
1	1*1*1*1*1*1	1700	1	1	1	1	1	1	24	32	51	18	1
1	1*1*1*1*1*1	1595	1	1	1	1	1	1	43	38	67	44	1
1	1*1*1*1*1*1	1577	1	1	1	1	1	1	39	51	66	42	1
1	1*1*1*1*1*1	1677	1	1	1	1	1	1	33	41	47	21	1
1	1*1*1*1*1*1	1655	1	1	1	1	1	1	40	33	63	18	1
1	1*1*1*1*1*1	1589	1	1	1	1	1	1	53	60	57	25	1
1	1*1*1*1*1*1	1640	1	1	1	1	1	1	57	44	38	24	1
1	1*1*1*1*1*1	1815	1	1	1	1	1	1	10	4	15	8	1
1	1*1*1*1*1*1	1592	1	1	1	1	1	1	38	64	68	24	1
1	1*1*1*1*1*1	1713	1	1	1	1	1	1	25	28	43	24	1
1	1*1*1*1*1*1	1710	1	1	1	1	1	1	19	27	40	36	1
1	1*1*1*1*1*1	1630	1	1	1	1	1	1	54	53	39	24	1
1	1*1*1*1*1*1	1569	1	1	1	1	1	1	43	70	56	34	1
1	1*1*1*1*1*1	1583	1	1	1	1	1	1	57	35	57	48	1
1	1*1*1*1*1*1	1714	1	1	1	1	1	1	39	22	40	19	1
1	1*1*1*1*1*1	1715	1	1	1	1	1	1	37	37	32	12	1
1	1*1*1*1*1*1	1680	1	1	1	1	1	1	44	26	42	25	1
1	1*1*1*1*1*1	1708	1	1	1	1	1	1	25	18	47	32	1
1	1*1*1*1*1*1	1722	1	1	1	1	1	1	21	21	46	26	1
1	1*1*1*1*1*1	1666	1	1	1	1	1	1	26	34	63	25	1
1	1*1*1*1*1*1	1724	1	1	1	1	1	1	38	23	34	18	1
1	1*1*1*1*1*1	1725	1	1	1	1	1	1	30	32	29	22	1
1	1*1*1*1*1*1	1807	1	1	1	1	1	1	13	9	18	7	1
1	1*1*1*1*1*1	1643	1	1	1	1	1	1	54	40	45	20	1
1	1*1*1*1*1*1	1768	1	1	1	1	1	1	17	17	24	21	1
1	1*1*1*1*1*1	1730	1	1	1	1	1	1	32	30	32	16	1
1	1*1*1*1*1*1	1717	1	1	1	1	1	1	24	34	44	15	1
1	1*1*1*1*1*1	1740	1	1	1	1	1	1	30	26	27	21	1
1	1*1*1*1*1*1	1652	1	1	1	1	1	1	43	41	47	25	1
1	1*1*1*1*1*1	1773	1	1	1	1	1	1	18	21	23	10	1
1	1*1*1*1*1*1	1600	1	1	1	1	1	1	46	59	62	23	1
1	1*1*1*1*1*1	1775	1	1	1	1	1	1	20	16	26	9	1
1	1*1*1*1*1*1	1736	1	1	1	1	1	1	33	33	30	12	1
1	1*1*1*1*1*1	1697	1	1	1	1	1	1	34	37	38	18	1
1	1*1*1*1*1*1	1738	1	1	1	1	1	1	37	21	35	13	1
1	1*1*1*1*1*1	1578	1	1	1	1	1	1	56	42	65	35	1
1	1*1*1*1*1*1	1753	1	1	1	1	1	1	38	27	21	5	1
1	1*1*1*1*1*1	1741	1	1	1	1	1	1	19	21	42	20	1
1	1*1*1*1*1*1	1662	1	1	1	1	1	1	50	33	40	28	1
1	1*1*1*1*1*1	1770	1	1	1	1	1	1	14	17	31	12	1
1	1*1*1*1*1*1	1744	1	1	1	1	1	1	29	22	32	16	1
1	1*1*1*1*1*1	1625	1	1	1	1	1	1	53	42	56	21	1
1	1*1*1*1*1*1	1746	1	1	1	1	1	1	29	25	32	13	1
1	1*1*1*1*1*1	1613	1	1	1	1	1	1	38	58	61	23	1
1	1*1*1*1*1*1	1627	1	1	1	1	1	1	49	47	60	15	1
1	1*1*1*1*1*1	1669	1	1	1	1	1	1	29	42	40	34	1
1	1*1*1*1*1*1	1629	1	1	1	1	1	1	37	54	53	26	1
1	1*1*1*1*1*1	1791	1	1	1	1	1	1	13	20	14	13	1
1	1*1*1*1*1*1	1631	1	1	1	1	1	1	37	44	63	26	1
1	1*1*1*1*1*1	1806	1	1	1	1	1	1	10	15	13	10	1
1	1*1*1*1*1*1	1754	1	1	1	1	1	1	16	21	30	22	1
1	1*1*1*1*1*1	1755	1	1	1	1	1	1	22	26	25	14	1
1	1*1*1*1*1*1	1743	1	1	1	1	1	1	20	26	35	19	1
1	1*1*1*1*1*1	1757	1	1	1	1	1	1	22	21	28	16	1
1	1*1*1*1*1*1	1758	1	1	1	1	1	1	15	18	40	12	1
1	1*1*1*1*1*1	1679	1	1	1	1	1	1	35	47	42	15	1
1	1*1*1*1*1*1	1800	1	1	1	1	1	1	14	13	12	12	1
1	1*1*1*1*1*1	1801	1	1	1	1	1	1	14	17	10	10	1
1	1*1*1*1*1*1	1762	1	1	1	1	1	1	14	20	22	27	1
1	1*1*1*1*1*1	1642	1	1	1	1	1	1	31	35	54	41	1
1	1*1*1*1*1*1	1764	1	1	1	1	1	1	18	22	28	13	1
1	1*1*1*1*1*1	1644	1	1	1	1	1	1	52	47	43	16	1
1	1*1*1*1*1*1	1819	1	1	1	1	1	1	7	7	10	9	1
1	1*1*1*1*1*1	1699	1	1	1	1	1	1	40	23	42	21	1
1	1*1*1*1*1*1	1808	1	1	1	1	1	1	11	6	15	14	1
1	1*1*1*1*1*1	1809	1	1	1	1	1	1	10	15	16	4	1
1	1*1*1*1*1*1	1689	1	1	1	1	1	1	46	24	38	25	1
1	1*1*1*1*1*1	1571	1	1	1	1	1	1	54	48	76	24	1
1	1*1*1*1*1*1	1692	1	1	1	1	1	1	32	38	41	21	1
1	1*1*1*1*1*1	1813	1	1	1	1	1	1	12	11	11	4	1
1	1*1*1*1*1*1	1814	1	1	1	1	1	1	8	15	7	7	1
